,subject,score,display,question,dimension,question_number,qdirection,item
20964,sub071,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
20970,sub071,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
20976,sub071,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
20982,sub071,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
20988,sub071,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
20994,sub071,2.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
21000,sub071,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
21006,sub071,1.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
21012,sub071,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
21018,sub071,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
21024,sub071,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
21030,sub071,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
21036,sub071,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
21042,sub071,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
21048,sub071,4.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
21054,sub071,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
21060,sub071,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
21066,sub071,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
21072,sub071,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
21078,sub071,4.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
21084,sub071,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
21090,sub071,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
21102,sub071,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
21108,sub071,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
21114,sub071,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
21120,sub071,0.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
21126,sub071,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
21132,sub071,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
21138,sub071,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
21144,sub071,3.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
21150,sub071,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
21156,sub071,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
21162,sub071,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
21168,sub071,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
21178,sub072,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
21190,sub072,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
21196,sub072,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
21202,sub072,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
21214,sub072,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
21220,sub072,4.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
21226,sub072,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
21232,sub072,4.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
21238,sub072,0.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
21244,sub072,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
21250,sub072,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
21256,sub072,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
21262,sub072,2.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
21268,sub072,4.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
21274,sub072,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
21280,sub072,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
21286,sub072,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
21298,sub072,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
21304,sub072,2.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
21310,sub072,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
21316,sub072,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
21322,sub072,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
21334,sub072,2.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
21346,sub072,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
21352,sub072,2.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
21358,sub072,2.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
21364,sub072,3.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
21370,sub072,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
21376,sub072,2.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
21382,sub072,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
21388,sub072,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
21394,sub072,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
21400,sub072,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
21406,sub072,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
21412,sub072,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
21418,sub072,2.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
21424,sub072,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
21430,sub072,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
21436,sub072,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
21442,sub072,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
21448,sub072,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
21454,sub072,3.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
21460,sub072,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
21466,sub072,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
21476,sub073,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
21482,sub073,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
21488,sub073,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
21500,sub073,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
21506,sub073,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
21512,sub073,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
21518,sub073,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
21524,sub073,3.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
21530,sub073,4.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
21536,sub073,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
21542,sub073,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
21548,sub073,3.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
21554,sub073,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
21560,sub073,4.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
21572,sub073,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
21584,sub073,2.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
21590,sub073,3.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
21602,sub073,3.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
21608,sub073,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
21614,sub073,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
21620,sub073,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
21626,sub073,4.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
21638,sub073,3.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
21644,sub073,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
21650,sub073,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
21656,sub073,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
21662,sub073,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
21668,sub073,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
21674,sub073,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
21680,sub073,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
21686,sub073,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
21692,sub073,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
21698,sub073,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
21704,sub073,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
21710,sub073,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
21716,sub073,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
21722,sub073,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
21728,sub073,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
21734,sub073,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
21740,sub073,2.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
21746,sub073,3.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
21752,sub073,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
21758,sub073,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
21764,sub073,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
21774,sub074,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
21780,sub074,2.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
21786,sub074,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
21792,sub074,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
21798,sub074,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
21804,sub074,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
21816,sub074,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
21822,sub074,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
21828,sub074,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
21834,sub074,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
21840,sub074,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
21846,sub074,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
21852,sub074,1.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
21858,sub074,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
21864,sub074,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
21870,sub074,1.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
21882,sub074,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
21888,sub074,3.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
21894,sub074,1.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
21900,sub074,1.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
21906,sub074,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
21912,sub074,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
21924,sub074,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
21930,sub074,1.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
21936,sub074,1.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
21942,sub074,3.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
21948,sub074,1.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
21954,sub074,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
21960,sub074,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
21966,sub074,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
21978,sub074,1.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
21984,sub074,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
21990,sub074,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
21996,sub074,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
22002,sub074,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
22008,sub074,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
22014,sub074,1.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
22020,sub074,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
22026,sub074,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
22038,sub074,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
22044,sub074,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
22050,sub074,0.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
22056,sub074,1.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
22062,sub074,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
22072,sub075,1.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
22078,sub075,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
22084,sub075,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
22090,sub075,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
22096,sub075,0.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
22102,sub075,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
22108,sub075,2.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
22114,sub075,0.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
22126,sub075,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
22132,sub075,4.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
22138,sub075,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
22144,sub075,0.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
22150,sub075,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
22156,sub075,0.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
22162,sub075,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
22168,sub075,0.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
22174,sub075,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
22180,sub075,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
22186,sub075,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
22192,sub075,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
22198,sub075,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
22204,sub075,3.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
22210,sub075,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
22216,sub075,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
22222,sub075,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
22228,sub075,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
22234,sub075,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
22240,sub075,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
22246,sub075,0.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
22252,sub075,0.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
22258,sub075,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
22270,sub075,1.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
22276,sub075,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
22288,sub075,1.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
22294,sub075,1.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
22300,sub075,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
22306,sub075,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
22318,sub075,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
22324,sub075,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
22330,sub075,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
22336,sub075,4.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
22348,sub075,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
22354,sub075,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
22360,sub075,4.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
22370,sub076,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
22376,sub076,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
22382,sub076,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
22388,sub076,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
22394,sub076,4.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
22400,sub076,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
22406,sub076,0.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
22418,sub076,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
22424,sub076,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
22430,sub076,0.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
22436,sub076,0.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
22442,sub076,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
22448,sub076,3.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
22454,sub076,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
22460,sub076,0.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
22466,sub076,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
22472,sub076,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
22478,sub076,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
22484,sub076,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
22490,sub076,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
22496,sub076,0.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
22502,sub076,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
22508,sub076,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
22514,sub076,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
22520,sub076,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
22526,sub076,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
22532,sub076,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
22550,sub076,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
22556,sub076,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
22562,sub076,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
22574,sub076,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
22580,sub076,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
22586,sub076,0.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
22592,sub076,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
22598,sub076,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
22604,sub076,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
22610,sub076,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
22616,sub076,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
22622,sub076,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
22628,sub076,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
22634,sub076,1.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
22640,sub076,0.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
22646,sub076,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
22652,sub076,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
22668,sub077,2.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
22674,sub077,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
22686,sub077,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
22692,sub077,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
22698,sub077,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
22710,sub077,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
22722,sub077,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
22728,sub077,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
22734,sub077,4.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
22740,sub077,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
22746,sub077,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
22752,sub077,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
22758,sub077,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
22764,sub077,2.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
22776,sub077,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
22782,sub077,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
22788,sub077,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
22794,sub077,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
22800,sub077,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
22806,sub077,2.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
22812,sub077,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
22818,sub077,2.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
22824,sub077,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
22830,sub077,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
22836,sub077,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
22842,sub077,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
22854,sub077,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
22860,sub077,4.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
22866,sub077,2.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
22872,sub077,2.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
22878,sub077,1.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
22884,sub077,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
